Country,City,Date,Year,Month,Day,Temp,DayOfYear
South Africa,Capetown,1995-01-01,1995,1,1,19.33333333333333,1
South Africa,Capetown,1995-01-02,1995,1,2,19.88888888888889,2
South Africa,Capetown,1995-01-03,1995,1,3,19.388888888888893,3
South Africa,Capetown,1995-01-04,1995,1,4,20.83333333333333,4
South Africa,Capetown,1995-01-05,1995,1,5,21.444444444444443,5
South Africa,Capetown,1995-01-06,1995,1,6,20.611111111111107,6
South Africa,Capetown,1995-01-07,1995,1,7,19.0,7
South Africa,Capetown,1995-01-08,1995,1,8,19.33333333333333,8
South Africa,Capetown,1995-01-09,1995,1,9,21.666666666666668,9
South Africa,Capetown,1995-01-10,1995,1,10,23.38888888888889,10
South Africa,Capetown,1995-01-11,1995,1,11,23.277777777777786,11
South Africa,Capetown,1995-01-12,1995,1,12,20.222222222222225,12
South Africa,Capetown,1995-01-13,1995,1,13,21.22222222222222,13
South Africa,Capetown,1995-01-14,1995,1,14,21.888888888888893,14
South Africa,Capetown,1995-01-15,1995,1,15,24.944444444444446,15
South Africa,Capetown,1995-01-16,1995,1,16,22.61111111111111,16
South Africa,Capetown,1995-01-17,1995,1,17,21.83333333333333,17
South Africa,Capetown,1995-01-18,1995,1,18,19.72222222222222,18
South Africa,Capetown,1995-01-19,1995,1,19,21.38888888888889,19
South Africa,Capetown,1995-01-20,1995,1,20,22.444444444444446,20
South Africa,Capetown,1995-01-21,1995,1,21,21.666666666666668,21
South Africa,Capetown,1995-01-22,1995,1,22,20.222222222222225,22
South Africa,Capetown,1995-01-23,1995,1,23,22.88888888888889,23
South Africa,Capetown,1995-01-24,1995,1,24,20.777777777777786,24
South Africa,Capetown,1995-01-25,1995,1,25,19.5,25
South Africa,Capetown,1995-01-26,1995,1,26,19.83333333333333,26
South Africa,Capetown,1995-01-27,1995,1,27,19.77777777777777,27
South Africa,Capetown,1995-01-28,1995,1,28,18.77777777777778,28
South Africa,Capetown,1995-01-29,1995,1,29,18.833333333333336,29
South Africa,Capetown,1995-01-30,1995,1,30,19.33333333333333,30
South Africa,Capetown,1995-01-31,1995,1,31,19.444444444444443,31
South Africa,Capetown,1996-01-01,1996,1,1,21.11111111111111,1
South Africa,Capetown,1996-01-02,1996,1,2,22.38888888888889,2
South Africa,Capetown,1996-01-03,1996,1,3,22.88888888888889,3
South Africa,Capetown,1996-01-04,1996,1,4,21.22222222222222,4
South Africa,Capetown,1996-01-05,1996,1,5,20.166666666666668,5
South Africa,Capetown,1996-01-06,1996,1,6,20.611111111111107,6
South Africa,Capetown,1996-01-07,1996,1,7,19.33333333333333,7
South Africa,Capetown,1996-01-08,1996,1,8,20.11111111111111,8
South Africa,Capetown,1996-01-09,1996,1,9,19.33333333333333,9
South Africa,Capetown,1996-01-10,1996,1,10,19.11111111111111,10
South Africa,Capetown,1996-01-11,1996,1,11,19.83333333333333,11
South Africa,Capetown,1996-01-12,1996,1,12,21.333333333333336,12
South Africa,Capetown,1996-01-13,1996,1,13,22.944444444444443,13
South Africa,Capetown,1996-01-14,1996,1,14,22.22222222222222,14
South Africa,Capetown,1996-01-15,1996,1,15,21.27777777777778,15
South Africa,Capetown,1996-01-16,1996,1,16,23.55555555555556,16
South Africa,Capetown,1996-01-17,1996,1,17,22.444444444444446,17
South Africa,Capetown,1996-01-18,1996,1,18,23.944444444444443,18
South Africa,Capetown,1996-01-19,1996,1,19,24.33333333333333,19
South Africa,Capetown,1996-01-20,1996,1,20,24.72222222222222,20
South Africa,Capetown,1996-01-21,1996,1,21,22.33333333333333,21
South Africa,Capetown,1996-01-22,1996,1,22,19.55555555555556,22
South Africa,Capetown,1996-01-23,1996,1,23,19.05555555555556,23
South Africa,Capetown,1996-01-24,1996,1,24,19.166666666666668,24
South Africa,Capetown,1996-01-25,1996,1,25,20.11111111111111,25
South Africa,Capetown,1996-01-26,1996,1,26,19.77777777777777,26
South Africa,Capetown,1996-01-27,1996,1,27,22.666666666666668,27
South Africa,Capetown,1996-01-28,1996,1,28,23.77777777777778,28
South Africa,Capetown,1996-01-29,1996,1,29,20.444444444444443,29
South Africa,Capetown,1996-01-30,1996,1,30,21.22222222222222,30
South Africa,Capetown,1996-01-31,1996,1,31,20.944444444444443,31
South Africa,Capetown,1997-01-01,1997,1,1,18.88888888888889,1
South Africa,Capetown,1997-01-02,1997,1,2,19.444444444444443,2
South Africa,Capetown,1997-01-03,1997,1,3,20.500000000000004,3
South Africa,Capetown,1997-01-04,1997,1,4,23.55555555555556,4
South Africa,Capetown,1997-01-05,1997,1,5,23.166666666666668,5
South Africa,Capetown,1997-01-06,1997,1,6,22.77777777777778,6
South Africa,Capetown,1997-01-07,1997,1,7,21.666666666666668,7
South Africa,Capetown,1997-01-08,1997,1,8,18.5,8
South Africa,Capetown,1997-01-09,1997,1,9,16.72222222222222,9
South Africa,Capetown,1997-01-10,1997,1,10,17.333333333333332,10
South Africa,Capetown,1997-01-11,1997,1,11,19.0,11
South Africa,Capetown,1997-01-12,1997,1,12,21.333333333333336,12
South Africa,Capetown,1997-01-13,1997,1,13,20.666666666666668,13
South Africa,Capetown,1997-01-14,1997,1,14,22.5,14
South Africa,Capetown,1997-01-15,1997,1,15,20.222222222222225,15
South Africa,Capetown,1997-01-16,1997,1,16,19.05555555555556,16
South Africa,Capetown,1997-01-17,1997,1,17,22.666666666666668,17
South Africa,Capetown,1997-01-18,1997,1,18,21.944444444444443,18
South Africa,Capetown,1997-01-19,1997,1,19,20.55555555555556,19
South Africa,Capetown,1997-01-20,1997,1,20,19.72222222222222,20
South Africa,Capetown,1997-01-21,1997,1,21,19.944444444444446,21
South Africa,Capetown,1997-01-22,1997,1,22,19.27777777777778,22
South Africa,Capetown,1997-01-23,1997,1,23,20.38888888888889,23
South Africa,Capetown,1997-01-24,1997,1,24,20.666666666666668,24
South Africa,Capetown,1997-01-25,1997,1,25,21.38888888888889,25
South Africa,Capetown,1997-01-26,1997,1,26,19.33333333333333,26
South Africa,Capetown,1997-01-27,1997,1,27,21.444444444444443,27
South Africa,Capetown,1997-01-28,1997,1,28,21.5,28
South Africa,Capetown,1997-01-29,1997,1,29,21.83333333333333,29
South Africa,Capetown,1997-01-30,1997,1,30,21.11111111111111,30
South Africa,Capetown,1997-01-31,1997,1,31,17.0,31
South Africa,Capetown,1998-01-01,1998,1,1,22.722222222222225,1
