id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
2591820310.0,20141006T000000,365000.0,4,2.25,2070,8893,2.0,0,0,4,8,2070,0,1986,0,47.4388,-122.162,2390,7700
7974200820.0,20140821T000000,865000.0,5,3.0,2900,6730,1.0,0,0,5,8,1830,1070,1977,0,47.6784,-122.285,2370,6283
7701450110.0,20140815T000000,1038000.0,4,2.5,3770,10893,2.0,0,2,3,11,3770,0,1997,0,47.5646,-122.129,3710,9685
1250200285.0,20150317T000000,261500.0,3,1.0,1130,3600,1.0,0,0,3,6,1130,0,1908,0,47.5978,-122.299,1710,2231
2895800610.0,20140926T000000,352800.0,4,2.25,1800,2752,2.0,0,0,3,8,1800,0,2014,0,47.5167,-122.346,1650,2752
1761300310.0,20140827T000000,211000.0,4,2.0,1710,8288,1.5,0,0,3,7,1710,0,1970,0,47.3947,-122.174,1710,7200
8092500720.0,20140711T000000,230000.0,3,1.5,1330,9548,1.0,0,0,5,7,1330,0,1967,0,47.3675,-122.11,1420,9548
3353401340.0,20150216T000000,199900.0,4,1.75,1790,12000,1.0,0,0,5,6,1790,0,1944,0,47.2664,-122.256,1550,9840
923000425.0,20140718T000000,865000.0,5,2.5,3190,8160,2.0,0,0,3,9,3190,0,2014,0,47.7246,-122.363,1650,8160
3578401760.0,20140820T000000,393000.0,3,2.0,1320,10720,2.0,0,0,3,8,1320,0,1981,0,47.6203,-122.037,1910,13639
6840701125.0,20150422T000000,638000.0,3,1.0,1830,4400,1.5,0,0,4,8,1720,110,1930,0,47.6052,-122.3,1650,4400
7304300760.0,20140625T000000,349000.0,3,1.0,1010,8184,1.0,0,0,4,6,1010,0,1947,0,47.7416,-122.319,1010,8184
4202400078.0,20150428T000000,335000.0,2,1.0,1410,7000,1.0,0,0,3,7,1410,0,1968,0,47.4908,-122.223,1540,6000
8085400355.0,20141204T000000,1270000.0,5,3.0,3950,9520,1.0,0,0,3,9,2250,1700,1953,2002,47.6363,-122.207,1890,9520
7202360430.0,20140701T000000,920000.0,4,3.5,4080,10666,2.0,0,0,3,9,4080,0,2005,0,47.6818,-122.023,3920,8154
3303980660.0,20140603T000000,1070000.0,4,3.75,4130,12320,2.0,0,0,3,11,4130,0,2001,0,47.5194,-122.151,3690,11227
862000020.0,20150206T000000,800000.0,6,1.0,1430,20620,2.0,0,0,3,7,1430,0,1954,0,47.6255,-122.209,2450,10080
2206500105.0,20140818T000000,290000.0,3,1.0,960,9000,1.0,0,0,4,7,960,0,1955,0,47.5765,-122.154,1520,9000
2485000100.0,20140529T000000,685000.0,3,1.75,1940,7313,1.0,0,1,4,8,1440,500,1960,0,47.5239,-122.387,2160,7200
1775800420.0,20150202T000000,474000.0,4,2.25,1960,14834,1.0,0,0,4,8,1330,630,1976,0,47.7434,-122.095,1540,15000
2291401425.0,20140910T000000,485000.0,5,2.0,1910,5508,1.0,0,0,3,7,1020,890,1968,0,47.7074,-122.349,1030,7440
2025770560.0,20141103T000000,930000.0,4,4.25,5710,24663,2.0,0,0,3,11,5710,0,2007,0,47.3065,-122.158,4060,23847
4217401180.0,20140530T000000,1365000.0,3,2.5,2090,6000,1.5,0,0,4,9,2090,0,1928,0,47.6567,-122.281,2730,6000
1250201194.0,20141107T000000,449000.0,3,1.75,1270,6600,1.5,0,0,5,7,1270,0,1903,0,47.5976,-122.295,1490,3600
