Country,City,Date,Year,Month,Day,Temp,DayOfYear
Israel,Tel Aviv,1995-01-01,1995,1,1,14.055555555555554,1
Israel,Tel Aviv,1995-01-02,1995,1,2,13.38888888888889,2
Israel,Tel Aviv,1995-01-03,1995,1,3,13.27777777777778,3
Israel,Tel Aviv,1995-01-04,1995,1,4,13.833333333333334,4
Israel,Tel Aviv,1995-01-05,1995,1,5,13.666666666666666,5
Israel,Tel Aviv,1995-01-06,1995,1,6,14.5,6
Israel,Tel Aviv,1995-01-07,1995,1,7,16.11111111111111,7
Israel,Tel Aviv,1995-01-08,1995,1,8,14.27777777777778,8
Israel,Tel Aviv,1995-01-09,1995,1,9,13.944444444444445,9
Israel,Tel Aviv,1995-01-10,1995,1,10,15.0,10
Israel,Tel Aviv,1995-01-11,1995,1,11,13.944444444444445,11
Israel,Tel Aviv,1995-01-12,1995,1,12,12.555555555555555,12
Israel,Tel Aviv,1995-01-13,1995,1,13,13.499999999999998,13
Israel,Tel Aviv,1995-01-14,1995,1,14,14.61111111111111,14
Israel,Tel Aviv,1995-01-15,1995,1,15,15.72222222222222,15
Israel,Tel Aviv,1995-01-16,1995,1,16,13.61111111111111,16
Israel,Tel Aviv,1995-01-17,1995,1,17,12.111111111111107,17
Israel,Tel Aviv,1995-01-18,1995,1,18,11.333333333333334,18
Israel,Tel Aviv,1995-01-19,1995,1,19,12.555555555555555,19
Israel,Tel Aviv,1995-01-20,1995,1,20,12.22222222222222,20
Israel,Tel Aviv,1995-01-21,1995,1,21,10.833333333333334,21
Israel,Tel Aviv,1995-01-22,1995,1,22,13.0,22
Israel,Tel Aviv,1995-01-23,1995,1,23,12.944444444444445,23
Israel,Tel Aviv,1995-01-24,1995,1,24,13.444444444444446,24
Israel,Tel Aviv,1995-01-25,1995,1,25,14.22222222222222,25
Israel,Tel Aviv,1995-01-26,1995,1,26,13.722222222222223,26
Israel,Tel Aviv,1995-01-27,1995,1,27,13.722222222222223,27
Israel,Tel Aviv,1995-01-28,1995,1,28,13.88888888888889,28
Israel,Tel Aviv,1995-01-29,1995,1,29,14.833333333333334,29
Israel,Tel Aviv,1995-01-30,1995,1,30,14.22222222222222,30
Israel,Tel Aviv,1995-01-31,1995,1,31,13.499999999999998,31
Israel,Tel Aviv,1997-01-01,1997,1,1,14.38888888888889,1
Israel,Tel Aviv,1997-01-02,1997,1,2,13.777777777777777,2
Israel,Tel Aviv,1997-01-03,1997,1,3,14.000000000000002,3
Israel,Tel Aviv,1997-01-04,1997,1,4,13.833333333333334,4
Israel,Tel Aviv,1997-01-05,1997,1,5,14.22222222222222,5
Israel,Tel Aviv,1997-01-06,1997,1,6,15.833333333333334,6
Israel,Tel Aviv,1997-01-07,1997,1,7,16.72222222222222,7
Israel,Tel Aviv,1997-01-08,1997,1,8,16.166666666666668,8
Israel,Tel Aviv,1997-01-09,1997,1,9,18.22222222222222,9
Israel,Tel Aviv,1997-01-10,1997,1,10,16.333333333333332,10
Israel,Tel Aviv,1997-01-11,1997,1,11,14.166666666666666,11
Israel,Tel Aviv,1997-01-12,1997,1,12,17.944444444444443,12
Israel,Tel Aviv,1997-01-13,1997,1,13,19.0,13
Israel,Tel Aviv,1997-01-14,1997,1,14,17.944444444444443,14
Israel,Tel Aviv,1997-01-15,1997,1,15,15.166666666666666,15
Israel,Tel Aviv,1997-01-16,1997,1,16,11.77777777777778,16
Israel,Tel Aviv,1997-01-17,1997,1,17,12.27777777777778,17
Israel,Tel Aviv,1997-01-18,1997,1,18,12.055555555555555,18
Israel,Tel Aviv,1997-01-19,1997,1,19,13.27777777777778,19
Israel,Tel Aviv,1997-01-20,1997,1,20,13.833333333333334,20
Israel,Tel Aviv,1997-01-21,1997,1,21,13.333333333333334,21
Israel,Tel Aviv,1997-01-22,1997,1,22,13.11111111111111,22
Israel,Tel Aviv,1997-01-23,1997,1,23,11.277777777777777,23
Israel,Tel Aviv,1997-01-24,1997,1,24,11.833333333333332,24
Israel,Tel Aviv,1997-01-25,1997,1,25,13.777777777777777,25
Israel,Tel Aviv,1997-01-26,1997,1,26,15.61111111111111,26
Israel,Tel Aviv,1997-01-27,1997,1,27,12.611111111111112,27
Israel,Tel Aviv,1997-01-28,1997,1,28,12.944444444444445,28
Israel,Tel Aviv,1997-01-29,1997,1,29,12.72222222222222,29
Israel,Tel Aviv,1997-01-30,1997,1,30,12.388888888888888,30
Israel,Tel Aviv,1997-01-31,1997,1,31,11.38888888888889,31
Israel,Tel Aviv,1998-01-01,1998,1,1,13.555555555555555,1
Israel,Tel Aviv,1998-01-02,1998,1,2,11.944444444444445,2
Israel,Tel Aviv,1998-01-03,1998,1,3,12.444444444444445,3
Israel,Tel Aviv,1998-01-04,1998,1,4,15.27777777777778,4
Israel,Tel Aviv,1998-01-05,1998,1,5,13.444444444444446,5
Israel,Tel Aviv,1998-01-06,1998,1,6,15.38888888888889,6
Israel,Tel Aviv,1998-01-07,1998,1,7,15.77777777777778,7
Israel,Tel Aviv,1998-01-08,1998,1,8,14.61111111111111,8
Israel,Tel Aviv,1998-01-09,1998,1,9,12.22222222222222,9
Israel,Tel Aviv,1998-01-10,1998,1,10,13.666666666666666,10
Israel,Tel Aviv,1998-01-11,1998,1,11,11.944444444444445,11
Israel,Tel Aviv,1998-01-12,1998,1,12,10.22222222222222,12
Israel,Tel Aviv,1998-01-13,1998,1,13,14.555555555555555,13
Israel,Tel Aviv,1998-01-14,1998,1,14,14.77777777777778,14
Israel,Tel Aviv,1998-01-15,1998,1,15,15.055555555555555,15
Israel,Tel Aviv,1998-01-16,1998,1,16,14.444444444444445,16
Israel,Tel Aviv,1998-01-17,1998,1,17,13.88888888888889,17
